Gene_ID,Gene_Symbol,Gene_Description,randomSummary,randomCi.lb,randomCi.ub,randomP,FDR,het_QE,het_QEp,Regulation
ENSG00000003147,ICA1,islet cell autoantigen 1,-1.59388739735076,-2.18507084615164,-1.00270394854988,1.26219905741453e-07,1.43635416331398e-05,0.463852372119655,0.495829044025791,DOWN
ENSG00000004660,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,-1.29883516842933,-1.82779389278429,-0.769876444074379,1.48974498073246e-06,0.0001066161975338,0.483108347304966,0.48701772634297,DOWN
ENSG00000005379,TSPOAP1,TSPO associated protein 1,-1.18136105493401,-1.73828543065975,-0.624436679208268,3.21718868077212e-05,0.00119792966760515,0.127453911384013,0.721086656225893,DOWN
ENSG00000005810,MYCBP2,MYC binding protein 2,-1.49970076682487,-1.90854387906659,-1.09085765458316,6.5050066856111e-13,7.32030085687436e-10,0.05002485990254,0.823020021334113,DOWN
ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8,-1.80239234027316,-2.580781090363,-1.02400359018332,5.66879921284808e-06,0.000310343775285002,0.0585413480494236,0.808816431575991,DOWN
ENSG00000006327,TNFRSF12A,TNF receptor superfamily member 12A,3.2887215687056,1.85386652040568,4.72357661700552,7.04634970249676e-06,0.000367863040138594,0.479909953306004,0.488463106902973,UP
ENSG00000006534,ALDH3B1,aldehyde dehydrogenase 3 family member B1,1.23913970957524,0.461772710591773,2.01650670855871,0.00178274241034512,0.0226829335828836,0.14141457561305,0.706878762942974,UP
ENSG00000008300,CELSR3,cadherin EGF LAG seven-pass G-type receptor 3,-1.23919216718688,-2.02821887604093,-0.45016545833282,0.00208263951909924,0.0252571621423748,0.1213749574404,0.727547995496854,DOWN
ENSG00000008517,IL32,interleukin 32,1.49537950007215,0.481871408238151,2.50888759190614,0.00383008906484218,0.0387137146194826,0.900273823153556,0.342708299714571,UP
ENSG00000011028,MRC2,mannose receptor C type 2,3.24690660757765,2.16563140528518,4.32818180987012,3.96908297071515e-09,9.57116007795311e-07,0.368414509280523,0.543869767284447,UP
ENSG00000011304,PTBP1,polypyrimidine tract binding protein 1,1.38384900162766,0.644881841809942,2.12281616144539,0.000242185124880902,0.00537905908946004,0.126641640175256,0.721939835159017,UP
ENSG00000012223,LTF,lactotransferrin,4.06500775493476,1.76655956251898,6.36345594735054,0.000527539388944241,0.00941530475042984,1.99602907129563,0.157711912008312,UP
ENSG00000013364,MVP,major vault protein,1.61317082434761,0.809264561029478,2.41707708766574,8.38951115665685e-05,0.00238676879198372,0.361580916721825,0.54762954314555,UP
ENSG00000013573,DDX11,DEAD/H-box helicase 11,2.28502186039197,1.34870376522126,3.22133995556269,1.72559475686101e-06,0.000118086646604651,0.963691634066613,0.326258522525009,UP
ENSG00000018236,CNTN1,contactin 1,-1.86354843165323,-2.98485613621031,-0.742240727096148,0.00112459034450055,0.0163647284613528,0.537536374622304,0.463455529821408,DOWN
ENSG00000018408,WWTR1,WW domain containing transcription regulator 1,2.36615512945861,1.21618390917675,3.51612634974047,5.5121307007034e-05,0.00176109967623735,1.30574627384412,0.253166262239263,UP
ENSG00000020129,NCDN,neurochondrin,-1.22683665192852,-1.72887427790905,-0.724799025947986,1.6712033983934e-06,0.000115924650570926,0.470476723594421,0.492767935134147,DOWN
ENSG00000022267,FHL1,four and a half LIM domains 1,-1.22846737340863,-2.06256432311829,-0.394370423698962,0.00389358422701749,0.0392380308967494,1.28151569157223,0.257617408218882,DOWN
ENSG00000022567,SLC45A4,solute carrier family 45 member 4,-1.62681462851976,-2.76864034391776,-0.484988913121761,0.00523095796319907,0.0490547613437779,1.73256936570047,0.188083098159634,DOWN
ENSG00000023171,GRAMD1B,GRAM domain containing 1B,-1.59183157566654,-2.33005279008843,-0.853610361244655,2.37582036851513e-05,0.000947334987886663,0.0533245310813604,0.817376137536655,DOWN
ENSG00000023228,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1,-1.00229311956942,-1.51054523976327,-0.49404099937556,0.000111031926733057,0.00296710119776359,0.655442031928207,0.418173704265678,DOWN
ENSG00000026025,VIM,vimentin,2.33650198632431,1.50202335764704,3.17098061500157,4.06948594636097e-08,6.24481116132483e-06,0.126397381836796,0.722196997520032,UP
ENSG00000026950,BTN3A1,butyrophilin subfamily 3 member A1,1.75160838633095,1.00668156582303,2.49653520683888,4.05338078938372e-06,0.000235934716292404,0.00221260234029863,0.962482696607706,UP
ENSG00000031081,ARHGAP31,Rho GTPase activating protein 31,1.13957822693899,0.382076260739884,1.89708019313809,0.00319268680028518,0.0341092108789961,1.57267569324661,0.209818863310122,UP
ENSG00000033627,ATP6V0A1,ATPase H+ transporting V0 subunit a1,-1.00041753799043,-1.5061708404144,-0.494664235566473,0.000105772298821682,0.00287973613566128,0.136891782446309,0.711390764690931,DOWN
ENSG00000036530,CYP46A1,cytochrome P450 family 46 subfamily A member 1,-1.90436091635495,-2.75522639875488,-1.05349543395501,1.15091302810879e-05,0.000557397431297109,0.821692201439139,0.364685870063887,DOWN
ENSG00000040341,STAU2,staufen double-stranded RNA binding protein 2,-1.22323941802197,-1.58306327904513,-0.863415556998808,2.68299662075463e-11,1.81155931833353e-08,0.215076584871727,0.642817195891214,DOWN
ENSG00000040531,CTNS,"cystinosin, lysosomal cystine transporter",1.05147292663267,0.369733646501678,1.73321220676365,0.00250341423540074,0.0288739583836253,0.00141640957478949,0.969978528525865,UP
ENSG00000041982,TNC,tenascin C,4.73272583346946,1.93081133910484,7.53464032783409,0.000931016360843927,0.014286869246405,3.26305948549527,0.0708568093862311,UP
ENSG00000042493,CAPG,"capping actin protein, gelsolin like",1.48803043120956,0.522114984805639,2.45394587761349,0.00253275064262346,0.0290835583996489,0.0289579271142573,0.864876217176382,UP
ENSG00000043591,ADRB1,adrenoceptor beta 1,-1.59040880271502,-2.62197374095061,-0.558843864479436,0.00251307858190229,0.0289232498608027,0.00945756999853228,0.922527831311982,DOWN
ENSG00000047056,WDR37,WD repeat domain 37,-1.0520249759,-1.62025395238054,-0.483795999419454,0.000284854789805775,0.00601043606490186,0.772221404860813,0.379530719058238,DOWN
ENSG00000048540,LMO3,LIM domain only 3,-1.8062680652499,-2.96460217731109,-0.647933953188708,0.00224084465241197,0.0266689478726538,0.74454406898956,0.388209127688117,DOWN
ENSG00000048991,R3HDM1,R3H domain containing 1,-1.68580981671361,-2.24866212862234,-1.12295750480488,4.34939209448937e-09,1.02443356123229e-06,0.335448140305285,0.562468500233663,DOWN
ENSG00000049541,RFC2,replication factor C subunit 2,1.12584641024681,0.574438014783261,1.67725480571037,6.28661367206566e-05,0.00192358982690879,0.541436364232925,0.461838059449376,UP
ENSG00000050405,LIMA1,LIM domain and actin binding 1,2.01802372293861,1.2364397390285,2.79960770684871,4.1802359800624e-07,3.64977844879931e-05,1.43932115061768,0.230249224611176,UP
ENSG00000050748,MAPK9,mitogen-activated protein kinase 9,-1.1787338726871,-1.60902260298166,-0.748445142392538,7.91175718543418e-08,1.05434574702733e-05,0.00104289100417266,0.974237735166499,DOWN
ENSG00000051128,HOMER3,homer scaffold protein 3,1.02254427489761,0.443192790653712,1.60189575914151,0.000541583534173229,0.00960623123311114,0.196423667744408,0.657623177702496,UP
ENSG00000051523,CYBA,cytochrome b-245 alpha chain,1.40386359461172,0.451784069779392,2.35594311944405,0.00385226048920172,0.0388989972429063,0.341225683733648,0.559122587049592,UP
ENSG00000054277,OPN3,opsin 3,-1.45719686442446,-2.46193242720733,-0.452461301641599,0.00447483001142239,0.043661925198156,2.09049797657234,0.148217750134135,DOWN
ENSG00000054803,CBLN4,cerebellin 4 precursor,-3.56698779676658,-4.89663783211635,-2.23733776141682,1.45709297946717e-07,1.62169645011467e-05,0.234394886207196,0.628284062425464,DOWN
ENSG00000054967,RELT,RELT TNF receptor,1.24950773620874,0.524734258786743,1.97428121363074,0.000727570985612643,0.0118852241004594,0.281766504453938,0.595545717904118,UP
ENSG00000058404,CAMK2B,calcium/calmodulin dependent protein kinase II beta,-1.98653680040988,-3.11883574469145,-0.854237856128309,0.00058469727812661,0.0101924510032122,0.124023444842118,0.724711055245207,DOWN
ENSG00000058866,DGKG,diacylglycerol kinase gamma,1.14902313647218,0.477551020285586,1.82049525265877,0.000796838835724516,0.0127695945066739,0.25545146589445,0.613262422959527,UP
ENSG00000059804,SLC2A3,solute carrier family 2 member 3,1.41297039875121,0.484007565493127,2.34193323200929,0.00287174614500418,0.0316485799310145,2.24560997679151e-06,0.998804341753617,UP
ENSG00000061918,GUCY1B1,guanylate cyclase 1 soluble subunit beta 1,-1.83789995042594,-3.00618458765612,-0.669615313195752,0.00204691761148623,0.0251287049322819,1.62319160328619,0.202647337726138,DOWN
